address,location/lat,location/lng
"36 Brentwood Road Cape Elizabeth, ME 04107",43.5978481,-70.23887960000000
"32 Brentwood Road Cape Elizabeth, ME 04107",43.5976031,-70.2391596
"23 Brentwood Road Cape Elizabeth, ME 04107",43.5969238,-70.2390121
"65 Brentwood Road Cape Elizabeth, ME 04107",43.5980363,-70.2371581
"24 Brentwood Road Cape Elizabeth, ME 04107",43.5970881,-70.23949070000000
"40 Brentwood Road Cape Elizabeth, ME 04107",43.5980958,-70.2386904
"90 Brentwood Road Cape Elizabeth, ME 04107",43.5961957,-70.23653210000000
"58 Brentwood Road Cape Elizabeth, ME 04107",43.5988058,-70.2370242
"28 Brentwood Road Cape Elizabeth, ME 04107",43.5973441,-70.2393615
"2 Brentwood Road Cape Elizabeth, ME 04107",43.5954886,-70.2399484
"13 Brentwood Road Cape Elizabeth, ME 04107",43.5961998,-70.23915390000000
"35 Brentwood Road Cape Elizabeth, ME 04107",43.5976731,-70.2383387
"64 Brentwood Road Cape Elizabeth, ME 04107",43.59825440000000,-70.2365105
"17 Brentwood Road Cape Elizabeth, ME 04107",43.5966952,-70.2390362
"48 Brentwood Road Cape Elizabeth, ME 04107",43.5986561,-70.23834030000000
"31 Brentwood Road Cape Elizabeth, ME 04107",43.5974513,-70.2385714
"4 Bridlepath Way Cape Elizabeth, ME 04107",43.6221026,-70.22194620000000
"6 Bridlepath Way Cape Elizabeth, ME 04107",43.6222631,-70.22131020000000
"10 Bridlepath Way Cape Elizabeth, ME 04107",43.6225265,-70.2198318
"5 Bridlepath Way Cape Elizabeth, ME 04107",43.621821,-70.2213502
"9 Bridlepath Way Cape Elizabeth, ME 04107",43.6220672,-70.2202514
"3 Bridlepath Way Cape Elizabeth, ME 04107",43.62179950000000,-70.2218429
"7 Bridlepath Way Cape Elizabeth, ME 04107",43.6219535,-70.2207528
"11 Broad Cove Road Cape Elizabeth, ME 04107",43.573459,-70.21883870000000
"0 Broad Cove Road Cape Elizabeth, ME 04107",43.5739053,-70.2204813
"34 Broad Cove Road Cape Elizabeth, ME 04107",43.5739259,-70.2127628
"10 Broad Cove Road Cape Elizabeth, ME 04107",43.5738352,-70.2180508
"32 Broad Cove Road Cape Elizabeth, ME 04107",43.5734988,-70.2131266
"8 Broad Cove Road Cape Elizabeth, ME 04107",43.5738875,-70.2186971
"47 Broad Cove Road Cape Elizabeth, ME 04107",43.57581,-70.20997110000000
"43 Broad Cove Road Cape Elizabeth, ME 04107",43.5752817,-70.21072390000000
"33 Broad Cove Road Cape Elizabeth, ME 04107",43.5736411,-70.2121494
